Title,PDF Link
Multifidelity Simulation-based Inference for Computationally Expensive Simulators,https://arxiv.org/pdf/2502.08416
Exploring the Potential of Large Language Models to Simulate Personality,https://arxiv.org/pdf/2502.08265
Open-Source Factor Graph Optimization Package for GNSS: Examples and Applications,https://arxiv.org/pdf/2502.08158
$\texttt{PrecisionLauricella}$: package for numerical computation of Lauricella functions depending on a parameter,https://arxiv.org/pdf/2502.07935
A unifying account of warm start guarantees for patches of quantum landscapes,https://arxiv.org/pdf/2502.07889
MRS: A Fast Sampler for Mean Reverting Diffusion based on ODE and SDE Solvers,https://arxiv.org/pdf/2502.07856
Online matching and market imbalance,https://arxiv.org/pdf/2502.07731
Near-Optimal Sample Complexity in Reward-Free Kernel-Based Reinforcement Learning,https://arxiv.org/pdf/2502.07715
Rethinking Timing Residuals: Advancing PET Detectors with Explicit TOF Corrections,https://arxiv.org/pdf/2502.07630
Flow Distillation Sampling: Regularizing 3D Gaussians with Pre-trained Matching Priors,https://arxiv.org/pdf/2502.07615
Quantitative Analysis of Objects in Prisoner Artworks,https://arxiv.org/pdf/2502.07440
Beamfocusing Capabilities of a Uniform Linear Array in the Holographic Regime,https://arxiv.org/pdf/2502.07318
Fixed-Confidence Best Arm Identification with Decreasing Variance,https://arxiv.org/pdf/2502.07199
Generative Distribution Prediction: A Unified Approach to Multimodal Learning,https://arxiv.org/pdf/2502.07090
Boosting of Classification Models with Human-in-the-Loop Computational Visual Knowledge Discovery,https://arxiv.org/pdf/2502.07039
Machine Learning for Everyone: Simplifying Healthcare Analytics with BigQuery ML,https://arxiv.org/pdf/2502.07026
Investigating the Zone of Proximal Development of Language Models for In-Context Learning,https://arxiv.org/pdf/2502.06990
GraNNite: Enabling High-Performance Execution of Graph Neural Networks on Resource-Constrained Neural Processing Units,https://arxiv.org/pdf/2502.06921
Analytic Personalized Federated Meta-Learning,https://arxiv.org/pdf/2502.06915
PyPotteryInk: One-Step Diffusion Model for Sketch to Publication-ready Archaeological Drawings,https://arxiv.org/pdf/2502.06897
DiffNMR3: Advancing NMR Resolution Beyond Instrumental Limits,https://arxiv.org/pdf/2502.06845
TorchResist: Open-Source Differentiable Resist Simulator,https://arxiv.org/pdf/2502.06838
Information-theoretic Bayesian Optimization: Survey and Tutorial,https://arxiv.org/pdf/2502.06789
Low-power Spike-based Wearable Analytics on RRAM Crossbars,https://arxiv.org/pdf/2502.06736
TEMSET-24K: Densely Annotated Dataset for Indexing Multipart Endoscopic Videos using Surgical Timeline Segmentation,https://arxiv.org/pdf/2502.06708
Performance Analysis of Pinching-Antenna Systems,https://arxiv.org/pdf/2502.06701
A Survey on Video Analytics in Cloud-Edge-Terminal Collaborative Systems,https://arxiv.org/pdf/2502.06581
Low-dimensional Functions are Efficiently Learnable under Randomly Biased Distributions,https://arxiv.org/pdf/2502.06443
FEMBA: Efficient and Scalable EEG Analysis with a Bidirectional Mamba Foundation Model,https://arxiv.org/pdf/2502.06438
HODDI: A Dataset of High-Order Drug-Drug Interactions for Computational Pharmacovigilance,https://arxiv.org/pdf/2502.06274
Generalized Temporal Tensor Decomposition with Rank-revealing Latent-ODE,https://arxiv.org/pdf/2502.06164
Hierarchical Polysemantic Feature Embedding for Autonomous Ransomware Detection,https://arxiv.org/pdf/2502.06043
Mechanic Modeling and Nonlinear Optimal Control of Actively Articulated Suspension of Mobile Heavy-Duty Manipulators,https://arxiv.org/pdf/2502.05972
Characterization and Mitigation of ADC Noise by Reference Tuning in RRAM-Based Compute-In-Memory,https://arxiv.org/pdf/2502.05948
TAP-CAM: A Tunable Approximate Matching Engine based on Ferroelectric Content Addressable Memory,https://arxiv.org/pdf/2502.05787
Predictive Crash Analytics for Traffic Safety using Deep Learning,https://arxiv.org/pdf/2502.05777
"Digital Twin Buildings: 3D Modeling, GIS Integration, and Visual Descriptions Using Gaussian Splatting, ChatGPT/Deepseek, and Google Maps Platform",https://arxiv.org/pdf/2502.05769
Rethinking Word Similarity: Semantic Similarity through Classification Confusion,https://arxiv.org/pdf/2502.05704
Vertical Vibratory Transport of Grasped Parts Using Impacts,https://arxiv.org/pdf/2502.05693
